,1st_committer,committers
14,siyaoliu,"['siyaoliu', 'halulu', 'EdPlaysMC', 'Rhilip', 'lwl12', 'Zxilly', 'TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,halulu,"['halulu', 'EdPlaysMC', 'Rhilip', 'lwl12', 'Zxilly', 'TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
16,EdPlaysMC,"['EdPlaysMC', 'Rhilip', 'lwl12', 'Zxilly', 'TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
17,Rhilip,"['Rhilip', 'lwl12', 'Zxilly', 'TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
18,lwl12,"['lwl12', 'Zxilly', 'TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
19,Zxilly,"['Zxilly', 'TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
20,TheZihanGu,"['TheZihanGu', 'ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
21,ellermister,"['ellermister', 'TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
22,TimeBye,"['TimeBye', 'Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
23,Mao Wang,"['Mao Wang', 'akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
24,akkuman,"['akkuman', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
25,François Kooman,"['François Kooman', 'Steven Haussmann', 'Martijn Pieters', 'Scott', 'Peter Evans', 'The Fox in the Shell', 'Max', 'Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
26,Steven Haussmann,"['Steven Haussmann', 'Martijn Pieters', 'Scott', 'Peter Evans', 'The Fox in the Shell', 'Max', 'Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
27,Martijn Pieters,"['Martijn Pieters', 'Scott', 'Peter Evans', 'The Fox in the Shell', 'Max', 'Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
28,Scott,"['Scott', 'Peter Evans', 'The Fox in the Shell', 'Max', 'Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
29,Peter Evans,"['Peter Evans', 'The Fox in the Shell', 'Max', 'Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
30,The Fox in the Shell,"['The Fox in the Shell', 'Max', 'Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
31,Max,"['Max', 'Marcel Pociot', 'Paul Redmond', 'Julian Martin', 'Clayton Stone', 'Lucas Michot', 'Nuno Maduro', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
32,Paragon Initiative Enterprises,"['Paragon Initiative Enterprises', 'Gabriel Caruso', 'Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
