,1st_committer,committers
10,ieee0824,"['ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
11,Nazmus Shakib Khandaker,"['Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
12,James Moore,"['James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
13,Edward Betts,"['Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
14,Mateusz Karcz,"['Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,Martin Payne,"['Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
16,Nathan-J. Hirschauer,"['Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
17,mattn,"['mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
18,NazmusLabs,"['NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
19,Artur Souza,"['Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
