,1st_committer,committers
10,Alex Gavrilov,"['Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
11,Grahame Horner,"['Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
12,Austin Cummings,"['Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
13,Robin Sue,"['Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
14,alenros,"['alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,Matthew Lazarow,"['Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
16,Matt Ferderer,"['Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
17,Joseph Musser,"['Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
18,alexgav,"['alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
19,Lachlan B,"['Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
